BedrijfstakkenBranchesSBI2008_code;BedrijfstakkenBranchesSBI2008_title;Perioden_code;Perioden_title;Measure;Unit;Value
"300007";"G-N Commerciële dienstverlening";"2010MM01";"2010 januari";"Vacature-indicator";"%";-0.84
"350000";"F Bouwnijverheid";"2010MM01";"2010 januari";"Vacature-indicator";"%";-1
"307500";"C Industrie";"2010MM01";"2010 januari";"Vacature-indicator";"%";-0.69
"T001081";"A-U Alle economische activiteiten";"2010MM01";"2010 januari";"Vacature-indicator";"%";-0.82
"300007";"G-N Commerciële dienstverlening";"2010MM02";"2010 februari";"Vacature-indicator";"%";-0.65
"350000";"F Bouwnijverheid";"2010MM02";"2010 februari";"Vacature-indicator";"%";-0.78
"307500";"C Industrie";"2010MM02";"2010 februari";"Vacature-indicator";"%";-0.41
"T001081";"A-U Alle economische activiteiten";"2010MM02";"2010 februari";"Vacature-indicator";"%";-0.62
"300007";"G-N Commerciële dienstverlening";"2010MM03";"2010 maart";"Vacature-indicator";"%";-0.48
"350000";"F Bouwnijverheid";"2010MM03";"2010 maart";"Vacature-indicator";"%";-0.59
"307500";"C Industrie";"2010MM03";"2010 maart";"Vacature-indicator";"%";-0.16
"T001081";"A-U Alle economische activiteiten";"2010MM03";"2010 maart";"Vacature-indicator";"%";-0.44
"300007";"G-N Commerciële dienstverlening";"2010MM04";"2010 april";"Vacature-indicator";"%";-0.32
"350000";"F Bouwnijverheid";"2010MM04";"2010 april";"Vacature-indicator";"%";-0.45
"307500";"C Industrie";"2010MM04";"2010 april";"Vacature-indicator";"%";0.07
"T001081";"A-U Alle economische activiteiten";"2010MM04";"2010 april";"Vacature-indicator";"%";-0.28
"300007";"G-N Commerciële dienstverlening";"2010MM05";"2010 mei";"Vacature-indicator";"%";-0.21
"350000";"F Bouwnijverheid";"2010MM05";"2010 mei";"Vacature-indicator";"%";-0.33
"307500";"C Industrie";"2010MM05";"2010 mei";"Vacature-indicator";"%";0.24
"T001081";"A-U Alle economische activiteiten";"2010MM05";"2010 mei";"Vacature-indicator";"%";-0.16
"300007";"G-N Commerciële dienstverlening";"2010MM06";"2010 juni";"Vacature-indicator";"%";-0.15
"350000";"F Bouwnijverheid";"2010MM06";"2010 juni";"Vacature-indicator";"%";-0.23
"307500";"C Industrie";"2010MM06";"2010 juni";"Vacature-indicator";"%";0.34
"T001081";"A-U Alle economische activiteiten";"2010MM06";"2010 juni";"Vacature-indicator";"%";-0.1
"300007";"G-N Commerciële dienstverlening";"2010MM07";"2010 juli";"Vacature-indicator";"%";-0.12
"350000";"F Bouwnijverheid";"2010MM07";"2010 juli";"Vacature-indicator";"%";-0.13
"307500";"C Industrie";"2010MM07";"2010 juli";"Vacature-indicator";"%";0.41
"T001081";"A-U Alle economische activiteiten";"2010MM07";"2010 juli";"Vacature-indicator";"%";-0.07
"300007";"G-N Commerciële dienstverlening";"2010MM08";"2010 augustus";"Vacature-indicator";"%";-0.07
"350000";"F Bouwnijverheid";"2010MM08";"2010 augustus";"Vacature-indicator";"%";-0.02
"307500";"C Industrie";"2010MM08";"2010 augustus";"Vacature-indicator";"%";0.47
"T001081";"A-U Alle economische activiteiten";"2010MM08";"2010 augustus";"Vacature-indicator";"%";-0.02
"300007";"G-N Commerciële dienstverlening";"2010MM09";"2010 september";"Vacature-indicator";"%";-0.01
"350000";"F Bouwnijverheid";"2010MM09";"2010 september";"Vacature-indicator";"%";0.07
"307500";"C Industrie";"2010MM09";"2010 september";"Vacature-indicator";"%";0.51
"T001081";"A-U Alle economische activiteiten";"2010MM09";"2010 september";"Vacature-indicator";"%";0.05
"300007";"G-N Commerciële dienstverlening";"2010MM10";"2010 oktober";"Vacature-indicator";"%";0.06
"350000";"F Bouwnijverheid";"2010MM10";"2010 oktober";"Vacature-indicator";"%";0.15
"307500";"C Industrie";"2010MM10";"2010 oktober";"Vacature-indicator";"%";0.56
"T001081";"A-U Alle economische activiteiten";"2010MM10";"2010 oktober";"Vacature-indicator";"%";0.13
"300007";"G-N Commerciële dienstverlening";"2010MM11";"2010 november";"Vacature-indicator";"%";0.12
"350000";"F Bouwnijverheid";"2010MM11";"2010 november";"Vacature-indicator";"%";0.2
"307500";"C Industrie";"2010MM11";"2010 november";"Vacature-indicator";"%";0.62
"T001081";"A-U Alle economische activiteiten";"2010MM11";"2010 november";"Vacature-indicator";"%";0.19
"300007";"G-N Commerciële dienstverlening";"2010MM12";"2010 december";"Vacature-indicator";"%";0.15
"350000";"F Bouwnijverheid";"2010MM12";"2010 december";"Vacature-indicator";"%";0.2
"307500";"C Industrie";"2010MM12";"2010 december";"Vacature-indicator";"%";0.7
"T001081";"A-U Alle economische activiteiten";"2010MM12";"2010 december";"Vacature-indicator";"%";0.23
"300007";"G-N Commerciële dienstverlening";"2011MM01";"2011 januari";"Vacature-indicator";"%";0.17
"350000";"F Bouwnijverheid";"2011MM01";"2011 januari";"Vacature-indicator";"%";0.17
"307500";"C Industrie";"2011MM01";"2011 januari";"Vacature-indicator";"%";0.74
"T001081";"A-U Alle economische activiteiten";"2011MM01";"2011 januari";"Vacature-indicator";"%";0.23
"300007";"G-N Commerciële dienstverlening";"2011MM02";"2011 februari";"Vacature-indicator";"%";0.15
"350000";"F Bouwnijverheid";"2011MM02";"2011 februari";"Vacature-indicator";"%";0.14
"307500";"C Industrie";"2011MM02";"2011 februari";"Vacature-indicator";"%";0.76
"T001081";"A-U Alle economische activiteiten";"2011MM02";"2011 februari";"Vacature-indicator";"%";0.22
"300007";"G-N Commerciële dienstverlening";"2011MM03";"2011 maart";"Vacature-indicator";"%";0.1
"350000";"F Bouwnijverheid";"2011MM03";"2011 maart";"Vacature-indicator";"%";0.1
"307500";"C Industrie";"2011MM03";"2011 maart";"Vacature-indicator";"%";0.74
"T001081";"A-U Alle economische activiteiten";"2011MM03";"2011 maart";"Vacature-indicator";"%";0.17
"300007";"G-N Commerciële dienstverlening";"2011MM04";"2011 april";"Vacature-indicator";"%";0
"350000";"F Bouwnijverheid";"2011MM04";"2011 april";"Vacature-indicator";"%";0.06
"307500";"C Industrie";"2011MM04";"2011 april";"Vacature-indicator";"%";0.64
"T001081";"A-U Alle economische activiteiten";"2011MM04";"2011 april";"Vacature-indicator";"%";0.07
"300007";"G-N Commerciële dienstverlening";"2011MM05";"2011 mei";"Vacature-indicator";"%";-0.12
"350000";"F Bouwnijverheid";"2011MM05";"2011 mei";"Vacature-indicator";"%";0.01
"307500";"C Industrie";"2011MM05";"2011 mei";"Vacature-indicator";"%";0.45
"T001081";"A-U Alle economische activiteiten";"2011MM05";"2011 mei";"Vacature-indicator";"%";-0.05
"300007";"G-N Commerciële dienstverlening";"2011MM06";"2011 juni";"Vacature-indicator";"%";-0.24
"350000";"F Bouwnijverheid";"2011MM06";"2011 juni";"Vacature-indicator";"%";-0.04
"307500";"C Industrie";"2011MM06";"2011 juni";"Vacature-indicator";"%";0.22
"T001081";"A-U Alle economische activiteiten";"2011MM06";"2011 juni";"Vacature-indicator";"%";-0.18
"300007";"G-N Commerciële dienstverlening";"2011MM07";"2011 juli";"Vacature-indicator";"%";-0.33
"350000";"F Bouwnijverheid";"2011MM07";"2011 juli";"Vacature-indicator";"%";-0.11
"307500";"C Industrie";"2011MM07";"2011 juli";"Vacature-indicator";"%";-0.01
"T001081";"A-U Alle economische activiteiten";"2011MM07";"2011 juli";"Vacature-indicator";"%";-0.28
"300007";"G-N Commerciële dienstverlening";"2011MM08";"2011 augustus";"Vacature-indicator";"%";-0.41
"350000";"F Bouwnijverheid";"2011MM08";"2011 augustus";"Vacature-indicator";"%";-0.19
"307500";"C Industrie";"2011MM08";"2011 augustus";"Vacature-indicator";"%";-0.21
"T001081";"A-U Alle economische activiteiten";"2011MM08";"2011 augustus";"Vacature-indicator";"%";-0.37
"300007";"G-N Commerciële dienstverlening";"2011MM09";"2011 september";"Vacature-indicator";"%";-0.47
"350000";"F Bouwnijverheid";"2011MM09";"2011 september";"Vacature-indicator";"%";-0.28
"307500";"C Industrie";"2011MM09";"2011 september";"Vacature-indicator";"%";-0.36
"T001081";"A-U Alle economische activiteiten";"2011MM09";"2011 september";"Vacature-indicator";"%";-0.45
"300007";"G-N Commerciële dienstverlening";"2011MM10";"2011 oktober";"Vacature-indicator";"%";-0.5
"350000";"F Bouwnijverheid";"2011MM10";"2011 oktober";"Vacature-indicator";"%";-0.38
"307500";"C Industrie";"2011MM10";"2011 oktober";"Vacature-indicator";"%";-0.46
"T001081";"A-U Alle economische activiteiten";"2011MM10";"2011 oktober";"Vacature-indicator";"%";-0.49
"300007";"G-N Commerciële dienstverlening";"2011MM11";"2011 november";"Vacature-indicator";"%";-0.5
"350000";"F Bouwnijverheid";"2011MM11";"2011 november";"Vacature-indicator";"%";-0.47
"307500";"C Industrie";"2011MM11";"2011 november";"Vacature-indicator";"%";-0.48
"T001081";"A-U Alle economische activiteiten";"2011MM11";"2011 november";"Vacature-indicator";"%";-0.5
"300007";"G-N Commerciële dienstverlening";"2011MM12";"2011 december";"Vacature-indicator";"%";-0.52
"350000";"F Bouwnijverheid";"2011MM12";"2011 december";"Vacature-indicator";"%";-0.58
"307500";"C Industrie";"2011MM12";"2011 december";"Vacature-indicator";"%";-0.44
"T001081";"A-U Alle economische activiteiten";"2011MM12";"2011 december";"Vacature-indicator";"%";-0.51
"300007";"G-N Commerciële dienstverlening";"2012MM01";"2012 januari";"Vacature-indicator";"%";-0.53
"350000";"F Bouwnijverheid";"2012MM01";"2012 januari";"Vacature-indicator";"%";-0.7
"307500";"C Industrie";"2012MM01";"2012 januari";"Vacature-indicator";"%";-0.43
"T001081";"A-U Alle economische activiteiten";"2012MM01";"2012 januari";"Vacature-indicator";"%";-0.53
"300007";"G-N Commerciële dienstverlening";"2012MM02";"2012 februari";"Vacature-indicator";"%";-0.56
"350000";"F Bouwnijverheid";"2012MM02";"2012 februari";"Vacature-indicator";"%";-0.84
"307500";"C Industrie";"2012MM02";"2012 februari";"Vacature-indicator";"%";-0.45
"T001081";"A-U Alle economische activiteiten";"2012MM02";"2012 februari";"Vacature-indicator";"%";-0.56
"300007";"G-N Commerciële dienstverlening";"2012MM03";"2012 maart";"Vacature-indicator";"%";-0.58
"350000";"F Bouwnijverheid";"2012MM03";"2012 maart";"Vacature-indicator";"%";-0.99
"307500";"C Industrie";"2012MM03";"2012 maart";"Vacature-indicator";"%";-0.51
"T001081";"A-U Alle economische activiteiten";"2012MM03";"2012 maart";"Vacature-indicator";"%";-0.6
"300007";"G-N Commerciële dienstverlening";"2012MM04";"2012 april";"Vacature-indicator";"%";-0.61
"350000";"F Bouwnijverheid";"2012MM04";"2012 april";"Vacature-indicator";"%";-1.14
"307500";"C Industrie";"2012MM04";"2012 april";"Vacature-indicator";"%";-0.59
"T001081";"A-U Alle economische activiteiten";"2012MM04";"2012 april";"Vacature-indicator";"%";-0.64
"300007";"G-N Commerciële dienstverlening";"2012MM05";"2012 mei";"Vacature-indicator";"%";-0.65
"350000";"F Bouwnijverheid";"2012MM05";"2012 mei";"Vacature-indicator";"%";-1.27
"307500";"C Industrie";"2012MM05";"2012 mei";"Vacature-indicator";"%";-0.68
"T001081";"A-U Alle economische activiteiten";"2012MM05";"2012 mei";"Vacature-indicator";"%";-0.69
"300007";"G-N Commerciële dienstverlening";"2012MM06";"2012 juni";"Vacature-indicator";"%";-0.71
"350000";"F Bouwnijverheid";"2012MM06";"2012 juni";"Vacature-indicator";"%";-1.38
"307500";"C Industrie";"2012MM06";"2012 juni";"Vacature-indicator";"%";-0.77
"T001081";"A-U Alle economische activiteiten";"2012MM06";"2012 juni";"Vacature-indicator";"%";-0.76
"300007";"G-N Commerciële dienstverlening";"2012MM07";"2012 juli";"Vacature-indicator";"%";-0.8
"350000";"F Bouwnijverheid";"2012MM07";"2012 juli";"Vacature-indicator";"%";-1.47
"307500";"C Industrie";"2012MM07";"2012 juli";"Vacature-indicator";"%";-0.86
"T001081";"A-U Alle economische activiteiten";"2012MM07";"2012 juli";"Vacature-indicator";"%";-0.85
"300007";"G-N Commerciële dienstverlening";"2012MM08";"2012 augustus";"Vacature-indicator";"%";-0.89
"350000";"F Bouwnijverheid";"2012MM08";"2012 augustus";"Vacature-indicator";"%";-1.55
"307500";"C Industrie";"2012MM08";"2012 augustus";"Vacature-indicator";"%";-0.95
"T001081";"A-U Alle economische activiteiten";"2012MM08";"2012 augustus";"Vacature-indicator";"%";-0.94
"300007";"G-N Commerciële dienstverlening";"2012MM09";"2012 september";"Vacature-indicator";"%";-0.96
"350000";"F Bouwnijverheid";"2012MM09";"2012 september";"Vacature-indicator";"%";-1.6
"307500";"C Industrie";"2012MM09";"2012 september";"Vacature-indicator";"%";-1.01
"T001081";"A-U Alle economische activiteiten";"2012MM09";"2012 september";"Vacature-indicator";"%";-1.01
"300007";"G-N Commerciële dienstverlening";"2012MM10";"2012 oktober";"Vacature-indicator";"%";-1.01
"350000";"F Bouwnijverheid";"2012MM10";"2012 oktober";"Vacature-indicator";"%";-1.63
"307500";"C Industrie";"2012MM10";"2012 oktober";"Vacature-indicator";"%";-1.04
"T001081";"A-U Alle economische activiteiten";"2012MM10";"2012 oktober";"Vacature-indicator";"%";-1.05
"300007";"G-N Commerciële dienstverlening";"2012MM11";"2012 november";"Vacature-indicator";"%";-1.03
"350000";"F Bouwnijverheid";"2012MM11";"2012 november";"Vacature-indicator";"%";-1.64
"307500";"C Industrie";"2012MM11";"2012 november";"Vacature-indicator";"%";-1.03
"T001081";"A-U Alle economische activiteiten";"2012MM11";"2012 november";"Vacature-indicator";"%";-1.07
"300007";"G-N Commerciële dienstverlening";"2012MM12";"2012 december";"Vacature-indicator";"%";-1.04
"350000";"F Bouwnijverheid";"2012MM12";"2012 december";"Vacature-indicator";"%";-1.65
"307500";"C Industrie";"2012MM12";"2012 december";"Vacature-indicator";"%";-1.01
"T001081";"A-U Alle economische activiteiten";"2012MM12";"2012 december";"Vacature-indicator";"%";-1.08
"300007";"G-N Commerciële dienstverlening";"2013MM01";"2013 januari";"Vacature-indicator";"%";-1.05
"350000";"F Bouwnijverheid";"2013MM01";"2013 januari";"Vacature-indicator";"%";-1.63
"307500";"C Industrie";"2013MM01";"2013 januari";"Vacature-indicator";"%";-0.99
"T001081";"A-U Alle economische activiteiten";"2013MM01";"2013 januari";"Vacature-indicator";"%";-1.08
"300007";"G-N Commerciële dienstverlening";"2013MM02";"2013 februari";"Vacature-indicator";"%";-1.05
"350000";"F Bouwnijverheid";"2013MM02";"2013 februari";"Vacature-indicator";"%";-1.6
"307500";"C Industrie";"2013MM02";"2013 februari";"Vacature-indicator";"%";-1
"T001081";"A-U Alle economische activiteiten";"2013MM02";"2013 februari";"Vacature-indicator";"%";-1.08
"300007";"G-N Commerciële dienstverlening";"2013MM03";"2013 maart";"Vacature-indicator";"%";-1.03
